,year,month,value
450,2012,7,1.656
451,2012,8,1.514
452,2012,9,2.762
453,2012,10,3.389
454,2012,11,2.79
455,2012,12,4.114
456,2013,1,5.161
457,2013,2,2.596
458,2013,3,2.942
459,2013,4,2.398
460,2013,5,4.578
461,2013,6,1.651
462,2013,7,2.109
463,2013,8,1.213
464,2013,9,3.703
465,2013,10,2.82
466,2013,11,3.433
467,2013,12,2.662
468,2014,1,4.714
469,2014,2,1.87
470,2014,3,1.703
471,2014,4,3.484
472,2014,5,4.88
473,2014,6,2.492
474,2014,7,2.873
475,2014,8,2.498
476,2014,9,2.4
477,2014,10,2.984
478,2014,11,2.999
479,2014,12,4.01
480,2015,1,2.295
481,2015,2,3.018
482,2015,3,1.872
483,2015,4,2.711
484,2015,5,1.216
485,2015,6,1.999
486,2015,7,2.161
487,2015,8,1.37
488,2015,9,1.69
489,2015,10,2.35
490,2015,11,3.633
491,2015,12,4.024
492,2016,1,5.483
493,2016,2,2.484
494,2016,3,2.305
495,2016,4,1.476
496,2016,5,3.114
497,2016,6,2.5
498,2016,7,2.128
499,2016,8,1.865
500,2016,9,1.904
501,2016,10,2.032
502,2016,11,3.302
503,2016,12,2.461
504,2017,1,2.762
505,2017,2,2.671
506,2017,3,3.134
507,2017,4,2.502
508,2017,5,4.139
509,2017,6,2.015
510,2017,7,1.592
511,2017,8,0.998
512,2017,9,1.096
513,2017,10,2.557
514,2017,11,2.624
515,2017,12,2.548
516,2018,1,2.122
517,2018,2,3.112
518,2018,3,3.343
519,2018,4,3.275
520,2018,5,4.662
521,2018,6,3.506
522,2018,7,1.631
523,2018,8,2.589
524,2018,9,3.047
525,2018,10,3.891
526,2018,11,4.81
527,2018,12,3.425
528,2019,1,3.515
529,2019,2,2.978
530,2019,3,3.213
531,2019,4,4.705
532,2019,5,3.99
533,2019,6,2.209
534,2019,7,3.382
535,2019,8,1.604
536,2019,9,1.655
537,2019,10,2.375
538,2019,11,2.471
539,2019,12,2.879
540,2020,1,1.765
541,2020,2,2.719
542,2020,3,2.086
543,2020,4,3.069
544,2020,5,3.545
545,2020,6,3.777
546,2020,7,1.548
547,2020,8,2.863
548,2020,9,1.543
549,2020,10,2.874
550,2020,11,3.594
551,2020,12,1.714
