,year,month,value
460,2013,5,12.5
461,2013,6,14.8
462,2013,7,18.75
463,2013,8,16.3
464,2013,9,12.125
465,2013,10,7.55
466,2013,11,3.15
467,2013,12,2.0
468,2014,1,-4.65
469,2014,2,2.025
470,2014,3,4.45
471,2014,4,6.75
472,2014,5,12.15
473,2014,6,15.625
474,2014,7,20.65
475,2014,8,14.8
476,2014,9,13.525
477,2014,10,9.75
478,2014,11,3.8
479,2014,12,-0.95
480,2015,1,-0.55
481,2015,2,0.95
482,2015,3,3.4
483,2015,4,6.625
484,2015,5,9.05
485,2015,6,14.05
486,2015,7,15.75
487,2015,8,16.2
488,2015,9,12.5
489,2015,10,7.35
490,2015,11,3.75
491,2015,12,2.35
492,2016,1,-6.9
493,2016,2,-0.85
494,2016,3,3.35
495,2016,4,5.875
496,2016,5,12.1
497,2016,6,16.55
498,2016,7,16.8
499,2016,8,15.95
500,2016,9,14.875
501,2016,10,6.2
502,2016,11,2.35
503,2016,12,0.95
504,2017,1,-1.3
505,2017,2,-1.15
506,2017,3,2.65
507,2017,4,5.475
508,2017,5,12.6
509,2017,6,15.15
510,2017,7,16.45
511,2017,8,15.65
512,2017,9,12.25
513,2017,10,7.2
514,2017,11,1.475
515,2017,12,-1.85
516,2018,1,-2.25
517,2018,2,-3.425
518,2018,3,-2.5
519,2018,4,7.4
520,2018,5,15.9
521,2018,6,17.575
522,2018,7,21.75
523,2018,8,15.55
524,2018,9,12.3
525,2018,10,7.05
526,2018,11,5.125
527,2018,12,-1.25
528,2019,1,-2.7
529,2019,2,1.75
530,2019,3,2.0
531,2019,4,7.15
532,2019,5,10.2
533,2019,6,15.35
534,2019,7,17.3
535,2019,8,16.8
536,2019,9,11.25
537,2019,10,5.95
538,2019,11,1.65
539,2019,12,1.05
540,2020,1,2.85
541,2020,2,2.15
542,2020,3,3.0
543,2020,4,6.475
544,2020,5,9.7
545,2020,6,19.825
546,2020,7,15.25
547,2020,8,18.75
548,2020,9,12.8
549,2020,10,7.95
550,2020,11,5.475
551,2020,12,2.025
